"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Drew Storen","- - -","49.1 %","92.8","36.8 %","81.7","","","","","14.2 %","85.1","","","","","0.7 %","6983"
"Jordan Lyles","Rockies","61.5 %","92.8","19.0 %","88.7","0.7 %","89.5","9.6 %","80.2","9.2 %","83.1","","","","","0.7 %","7593"
"Daniel Norris","- - -","59.7 %","92.8","17.6 %","86.0","","","8.6 %","75.9","14.1 %","85.6","","","","","","13475"
"Danny Farquhar","- - -","38.3 %","92.8","","","24.0 %","89.0","14.8 %","75.0","22.9 %","86.1","","","","","0.9 %","8501"
"Seung Hwan Oh","Cardinals","59.7 %","92.8","32.3 %","85.6","","","0.9 %","73.7","","","7.1 %","83.3","","","1.0 %","18719"
"Edwin Jackson","- - -","49.4 %","92.7","30.6 %","86.5","11.2 %","89.6","6.4 %","77.6","2.4 %","87.3","","","","","0.6 %","1841"
"Brandon McCarthy","Dodgers","57.9 %","92.7","","","15.6 %","91.2","25.5 %","80.2","1.1 %","88.0","","","","","0.3 %","4662"
"Will Smith","- - -","50.3 %","92.7","39.1 %","81.4","","","10.6 %","77.4","","","","","","","0.3 %","8048"
"Ivan Nova","- - -","65.9 %","92.7","","","1.6 %","86.7","27.7 %","80.1","4.9 %","86.5","","","","","0.1 %","1994"
"Jean Machi","- - -","53.8 %","92.7","10.5 %","81.4","","","","","","","35.8 %","86.2","","","","3220"
"Buck Farmer","Tigers","60.5 %","92.7","10.8 %","80.5","3.0 %","87.1","3.6 %","79.6","22.1 %","85.6","","","","","1.1 %","14814"
"Anthony DeSclafani","Reds","59.6 %","92.7","25.3 %","87.2","","","9.3 %","80.5","5.8 %","86.3","","","","","0.8 %","13050"
"Chaz Roe","- - -","57.2 %","92.7","42.3 %","82.7","0.2 %","87.0","","","0.3 %","84.8","","","","","0.9 %","9866"
"Julio Urias","Dodgers","55.7 %","92.7","14.7 %","84.9","","","15.4 %","76.0","14.1 %","80.3","","","","","0.3 %","14765"
"Adam Warren","- - -","44.4 %","92.7","30.1 %","87.1","","","10.7 %","79.5","14.8 %","84.5","","","","","0.8 %","9029"
"Alfredo Simon","- - -","46.6 %","92.7","","","12.7 %","88.4","9.1 %","76.6","","","31.5 %","84.0","","","0.3 %","2155"
"Jharel Cotton","Athletics","46.9 %","92.6","","","19.8 %","88.9","8.4 %","78.3","25.0 %","77.4","","","","","0.2 %","13654"
"Martin Perez","Rangers","60.4 %","92.6","10.7 %","85.4","","","10.2 %","79.6","18.7 %","84.3","","","","","0.2 %","6902"
"Archie Bradley","Diamondbacks","70.0 %","92.6","","","0.7 %","90.2","23.5 %","80.3","5.8 %","85.6","","","","","1.1 %","12918"
"Randall Delgado","Diamondbacks","56.5 %","92.6","23.1 %","82.1","","","0.5 %","75.1","20.0 %","84.6","","","","","0.6 %","5985"
"Elvis Araujo","Phillies","62.3 %","92.6","34.3 %","84.6","","","","","3.4 %","86.9","","","","","1.0 %","12854"
"Adam Liberatore","Dodgers","71.4 %","92.6","16.0 %","84.7","","","","","12.7 %","84.9","","","","","2.6 %","10637"
"Franklin Morales","- - -","59.7 %","92.6","30.6 %","88.2","","","9.3 %","75.0","0.4 %","86.5","","","","","","5088"
"Charlie Morton","- - -","63.7 %","92.6","","","3.1 %","88.8","24.1 %","79.4","9.1 %","85.0","","","","","1.0 %","4676"
"Ervin Santana","Twins","52.7 %","92.6","35.6 %","83.6","","","","","11.7 %","85.1","","","","","0.3 %","3200"
"Corey Kluber","Indians","51.8 %","92.6","","","25.5 %","88.8","17.8 %","83.2","5.0 %","85.1","","","","","0.2 %","2429"
"Andrew Chafin","Diamondbacks","69.7 %","92.6","29.4 %","81.9","","","","","0.9 %","84.1","","","","","1.4 %","12988"
"Jordan Zimmermann","- - -","58.6 %","92.6","24.9 %","87.4","","","14.9 %","80.5","1.7 %","86.7","","","","","0.3 %","4505"
"Marcus Stroman","Blue Jays","58.3 %","92.6","14.8 %","86.5","11.9 %","89.8","9.8 %","81.5","5.4 %","84.6","","","","","0.0 %","13431"
"Anthony Bass","Rangers","60.3 %","92.6","27.6 %","85.0","","","","","12.1 %","83.9","","","","","0.5 %","7982"
"Francisco Liriano","- - -","48.7 %","92.6","31.5 %","85.1","","","","","19.8 %","84.8","","","","","0.2 %","3201"
"Brian Flynn","Royals","66.9 %","92.6","27.7 %","85.5","","","1.7 %","75.6","3.7 %","83.8","","","","","","12027"
"Aaron Loup","Blue Jays","66.2 %","92.6","15.3 %","79.0","0.1 %","91.0","","","18.4 %","81.7","","","","","","10343"
"Raisel Iglesias","Reds","56.9 %","92.6","31.0 %","82.9","","","","","12.1 %","85.9","","","","","0.2 %","17130"
"Matt Moore","- - -","58.8 %","92.6","","","6.9 %","89.6","21.5 %","80.9","12.9 %","84.1","","","","","0.2 %","1890"
"Chris Devenski","Astros","44.4 %","92.5","11.6 %","82.4","","","11.0 %","76.7","33.0 %","81.3","","","","","0.1 %","12763"
"Brandon Kintzler","- - -","84.5 %","92.5","9.9 %","85.0","","","","","5.6 %","86.9","","","","","0.3 %","9939"
"Cole Hamels","- - -","46.9 %","92.5","","","18.7 %","89.1","13.1 %","78.8","21.3 %","84.2","","","","","0.2 %","4972"
"Keyvius Sampson","Reds","60.3 %","92.5","15.7 %","86.7","","","13.1 %","76.6","10.9 %","84.7","","","","","0.4 %","10039"
"Taylor Rogers","Twins","56.5 %","92.5","","","","","41.1 %","77.8","2.4 %","87.7","","","","","1.5 %","13449"
"Brad Boxberger","Rays","61.2 %","92.5","2.8 %","85.0","","","2.7 %","77.5","33.3 %","79.7","","","","","1.5 %","10133"
"Joakim Soria","- - -","65.9 %","92.5","9.3 %","79.7","","","10.2 %","71.1","14.7 %","86.7","","","","","0.2 %","6941"
"Brad Hand","- - -","64.3 %","92.5","20.3 %","83.0","","","9.9 %","78.5","5.6 %","85.8","","","","","0.5 %","9111"
"Tyler Chatwood","Rockies","69.9 %","92.5","","","21.7 %","87.4","5.1 %","76.7","3.3 %","85.2","","","","","0.2 %","4338"
"Addison Reed","- - -","70.1 %","92.5","29.7 %","86.1","","","","","0.2 %","85.6","","","","","1.7 %","10586"
"Matt Garza","Brewers","67.7 %","92.5","17.1 %","84.1","","","11.8 %","74.4","3.4 %","85.1","","","","","0.5 %","3340"
"Erik Goeddel","Mets","53.5 %","92.4","0.8 %","87.6","0.2 %","89.5","17.6 %","77.0","","","28.0 %","83.9","","","0.8 %","11712"
"Carlos Torres","- - -","21.9 %","92.4","","","62.9 %","91.0","14.9 %","81.4","0.2 %","83.7","","","","","1.4 %","7624"
"Tyler Skaggs","Angels","58.4 %","92.4","","","","","28.7 %","75.8","12.9 %","85.9","","","","","","10190"
"Blaine Boyer","- - -","60.9 %","92.4","28.9 %","86.4","","","9.8 %","74.5","0.5 %","86.0","","","","","1.5 %","2237"
"Ariel Miranda","- - -","58.5 %","92.4","4.1 %","80.7","","","","","19.7 %","83.6","17.7 %","80.5","","","0.3 %","17526"
"Drew Hutchison","- - -","65.0 %","92.4","23.7 %","84.4","","","","","11.4 %","85.6","","","","","0.1 %","10732"
"Pedro Villarreal","Reds","53.9 %","92.4","20.7 %","84.0","21.1 %","89.0","","","4.4 %","86.0","","","","","1.4 %","9904"
"Tony Barnette","Rangers","34.0 %","92.4","3.9 %","83.3","41.5 %","88.2","11.7 %","77.6","","","8.9 %","87.8","","","0.3 %","3555"
"Zach Eflin","Phillies","65.2 %","92.3","22.4 %","84.1","","","6.0 %","77.1","6.4 %","86.1","","","","","0.2 %","13774"
"Tanner Roark","Nationals","63.6 %","92.3","15.4 %","85.6","","","12.0 %","77.0","9.0 %","83.5","","","","","0.5 %","8753"
"Mike Montgomery","- - -","51.9 %","92.3","","","13.7 %","88.1","19.6 %","76.6","14.7 %","82.0","","","","","0.6 %","4869"
"Sean Manaea","Athletics","58.3 %","92.3","14.1 %","80.2","","","","","27.6 %","84.7","","","","","0.0 %","15873"
"Ryan Buchter","Padres","84.4 %","92.3","9.0 %","82.8","6.7 %","89.6","","","","","","","","","1.0 %","9456"
"A.J. Ramos","Marlins","42.5 %","92.3","30.3 %","80.7","3.4 %","90.5","3.3 %","75.5","20.5 %","85.4","","","","","0.6 %","8350"
"Steve Geltz","Rays","65.9 %","92.3","20.6 %","81.7","","","","","13.5 %","83.3","","","","","0.6 %","8402"
"Nathan Karns","- - -","55.6 %","92.2","","","","","31.8 %","81.2","12.6 %","85.7","","","","","0.3 %","12638"
"Shawn Kelley","- - -","51.2 %","92.2","48.8 %","82.9","","","","","","","","","","","1.3 %","7773"
"Nick Wittgren","Marlins","76.2 %","92.2","","","","","11.1 %","81.2","12.7 %","85.3","","","","","0.8 %","15594"
"Kendall Graveman","Athletics","61.1 %","92.2","7.3 %","78.5","22.5 %","87.6","","","4.8 %","85.3","4.3 %","83.3","","","0.2 %","15514"
"Andrew Bailey","- - -","59.7 %","92.2","","","27.4 %","85.1","12.9 %","76.8","","","","","","","0.6 %","1368"
"A.J. Schugel","- - -","60.4 %","92.2","","","","","6.0 %","77.8","33.6 %","82.3","","","","","0.6 %","11432"
"Seth Lugo","Mets","57.3 %","92.2","18.5 %","86.5","","","16.6 %","78.1","7.7 %","85.4","","","","","1.4 %","12447"
"Jason Hammel","- - -","52.6 %","92.1","35.4 %","84.6","","","8.1 %","76.8","3.9 %","84.9","","","","","0.4 %","4538"
"Alex Wilson","Tigers","55.9 %","92.1","7.1 %","83.4","35.9 %","87.0","","","1.1 %","87.6","","","","","1.0 %","9239"
"Brett Cecil","- - -","38.5 %","92.1","","","12.4 %","89.8","41.0 %","83.9","8.0 %","83.9","","","","","0.8 %","2660"
"Daniel Mengden","Athletics","55.8 %","92.1","","","17.3 %","86.9","12.0 %","74.9","15.0 %","81.3","","","","","","16980"
"Will Harris","Astros","68.9 %","92.1","","","4.4 %","91.3","26.2 %","81.4","0.5 %","84.9","","","","","0.3 %","3192"
"Tom Koehler","Marlins","52.4 %","92.1","19.3 %","85.4","","","22.3 %","78.8","6.1 %","84.7","","","","","0.8 %","6570"
"Derek Holland","- - -","58.5 %","92.0","16.5 %","81.3","","","14.9 %","77.2","10.2 %","83.7","","","","","0.3 %","4141"
"Clay Buchholz","- - -","41.9 %","92.0","","","23.1 %","88.3","17.3 %","77.9","17.1 %","80.4","0.6 %","85.7","","","0.0 %","3543"
"Antonio Bastardo","- - -","69.8 %","92.0","24.0 %","83.4","","","","","6.2 %","85.2","","","","","0.8 %","8844"
"Brandon Finnegan","- - -","67.0 %","92.0","20.6 %","83.4","","","","","12.4 %","84.3","","","","","0.2 %","16208"
"Albert Suarez","Giants","57.6 %","92.0","16.7 %","78.6","","","13.9 %","75.0","11.8 %","83.3","","","","","1.4 %","6175"
"Jon Lester","Cubs","55.9 %","92.0","","","25.0 %","88.4","13.5 %","74.8","5.7 %","84.8","","","","","0.2 %","4930"
"Patrick Corbin","Diamondbacks","63.1 %","92.0","28.1 %","80.7","","","","","8.8 %","84.5","","","","","0.3 %","9323"
"Johnny Cueto","- - -","50.4 %","92.0","8.0 %","84.2","21.6 %","86.9","3.2 %","80.7","16.8 %","82.7","","","","","0.1 %","6893"
"David Robertson","White Sox","67.1 %","92.0","","","","","31.1 %","82.4","1.8 %","86.7","","","","","1.1 %","8241"
"David Phelps","Marlins","62.0 %","91.9","","","20.2 %","89.0","12.9 %","79.2","4.8 %","83.2","","","","","0.7 %","6316"
"Joe Musgrove","Astros","47.3 %","91.9","33.6 %","82.1","2.5 %","88.1","7.4 %","78.9","9.1 %","82.7","","","","","","12970"
"Ian Kennedy","- - -","64.5 %","91.8","","","8.1 %","85.7","14.4 %","77.3","13.0 %","83.8","","","","","0.3 %","6986"
"Chad Bettis","Rockies","57.4 %","91.8","","","16.5 %","86.2","12.1 %","74.4","14.0 %","85.6","","","","","0.4 %","10587"
"Jose Quintana","White Sox","59.5 %","91.8","","","3.4 %","90.4","28.3 %","78.7","8.9 %","86.0","","","","","0.4 %","11423"
"Jesse Chavez","- - -","35.0 %","91.8","5.5 %","83.0","36.0 %","90.5","8.2 %","78.0","15.3 %","84.6","","","","","0.5 %","5448"
"John Gant","Braves","58.7 %","91.8","","","","","18.7 %","75.3","22.6 %","80.3","","","","","1.1 %","13684"
"Ross Detwiler","- - -","72.6 %","91.8","","","","","15.6 %","77.8","11.9 %","84.6","","","","","0.2 %","2859"
"Oliver Perez","- - -","56.9 %","91.8","43.1 %","79.1","","","","","","","","","","","1.5 %","1514"
"Colin Rea","- - -","59.9 %","91.8","0.0 %","84.0","17.4 %","87.1","17.7 %","78.0","","","4.9 %","83.7","","","0.7 %","12317"
"Mark Melancon","- - -","9.3 %","91.8","","","64.1 %","90.9","26.3 %","81.1","0.2 %","85.0","","","","","0.4 %","4264"
"Lance Lynn","Cardinals","84.1 %","91.8","9.1 %","86.5","","","4.6 %","77.7","2.2 %","84.0","","","","","0.7 %","2520"
"Paul Clemens","- - -","65.5 %","91.7","","","","","31.0 %","74.2","3.5 %","82.8","","","","","","8037"
"Roenis Elias","- - -","52.5 %","91.7","","","","","22.3 %","78.6","25.2 %","84.7","","","","","0.4 %","12673"
"Jeremy Guthrie","- - -","52.4 %","91.7","13.8 %","87.5","","","16.5 %","77.3","17.4 %","85.1","","","","","0.2 %","2072"
"J.A. Happ","- - -","70.3 %","91.7","12.9 %","84.7","","","8.5 %","78.4","8.3 %","84.7","","","","","0.3 %","7410"
"Ryan Webb","- - -","58.9 %","91.7","23.6 %","82.4","","","","","17.4 %","83.7","","","","","1.1 %","7474"
"T.J. McFarland","- - -","68.9 %","91.7","18.7 %","81.1","","","","","12.5 %","84.5","","","","","2.6 %","3237"
"Trevor Cahill","- - -","53.0 %","91.7","5.1 %","88.0","2.4 %","85.8","18.4 %","79.7","21.1 %","83.7","","","","","0.8 %","6249"
"Matt Andriese","Rays","49.3 %","91.7","","","18.5 %","86.3","12.6 %","79.8","19.6 %","85.4","","","","","0.2 %","12022"
"Mike Morin","Angels","40.1 %","91.6","23.9 %","80.7","","","","","36.0 %","71.9","","","","","0.8 %","13442"
"John Lackey","- - -","62.3 %","91.6","23.6 %","83.2","","","9.8 %","77.9","4.2 %","83.8","","","","","0.4 %","1507"
"Brian Duensing","- - -","53.0 %","91.6","23.9 %","81.0","","","8.5 %","72.4","14.7 %","84.9","","","","","1.7 %","4064"
"Chien-Ming Wang","Royals","84.0 %","91.6","10.3 %","84.3","","","1.1 %","77.0","4.7 %","80.2","","","","","","2074"
"Matt Bowman","Cardinals","62.4 %","91.6","21.8 %","86.5","","","","","15.8 %","81.1","","","","","0.9 %","13528"
"Chris Tillman","Orioles","60.9 %","91.6","","","11.6 %","85.7","13.3 %","75.3","14.3 %","83.2","","","","","0.2 %","5279"
"Aaron Brooks","- - -","60.0 %","91.5","14.6 %","85.3","","","4.5 %","77.4","20.9 %","82.5","","","","","0.1 %","12272"
"Justin De Fratus","Phillies","58.2 %","91.5","31.6 %","81.6","","","0.3 %","74.8","10.0 %","85.0","","","","","0.6 %","4955"
"Cory Gearrin","Giants","56.6 %","91.5","39.1 %","83.9","","","","","4.3 %","84.2","","","","","0.3 %","7947"
"Zack Greinke","- - -","49.7 %","91.5","20.3 %","86.0","","","9.7 %","74.0","20.3 %","88.1","","","","","0.2 %","1943"
"Marc Rzepczynski","- - -","59.2 %","91.5","30.9 %","83.9","","","","","9.8 %","85.6","","","","","3.2 %","6612"
"Dan Jennings","White Sox","59.2 %","91.5","40.8 %","83.5","","","","","0.1 %","82.0","","","","","1.2 %","8073"
"Chasen Shreve","Yankees","50.6 %","91.5","18.1 %","82.6","","","","","0.1 %","82.5","31.2 %","82.5","","","0.5 %","10855"
"Jake Odorizzi","Rays","55.2 %","91.5","6.0 %","82.6","10.7 %","85.9","3.7 %","71.3","24.4 %","84.8","","","","","0.2 %","6397"
"Madison Bumgarner","Giants","49.0 %","91.5","32.1 %","86.6","","","16.1 %","75.8","2.8 %","84.0","","","","","0.1 %","5524"
"Taylor Jungmann","Brewers","67.9 %","91.5","","","","","26.1 %","75.8","6.0 %","84.3","","","","","0.4 %","13119"
"Jeanmar Gomez","Phillies","63.1 %","91.4","15.6 %","84.2","1.1 %","87.8","0.2 %","75.6","20.0 %","84.2","","","","","1.2 %","9033"
"Kyle Gibson","Twins","57.0 %","91.4","20.3 %","84.3","","","4.4 %","79.7","18.3 %","83.2","","","","","0.4 %","10123"
"Chi Chi Gonzalez","Rangers","65.0 %","91.4","20.7 %","86.5","","","5.4 %","79.4","9.0 %","86.0","","","","","0.3 %","14663"
"Jeff Manship","Indians","53.3 %","91.4","42.5 %","83.5","","","4.1 %","81.3","0.2 %","85.5","","","","","0.6 %","6865"
"Jeff Locke","Pirates","63.6 %","91.4","2.9 %","83.8","","","9.6 %","79.5","24.0 %","81.6","","","","","0.7 %","2929"
"Chase Anderson","- - -","58.6 %","91.4","","","4.1 %","88.7","13.8 %","76.8","23.6 %","81.8","","","","","0.2 %","6895"
"Anibal Sanchez","Tigers","54.2 %","91.4","14.5 %","85.1","5.1 %","89.3","8.8 %","77.6","17.4 %","83.9","","","","","0.2 %","3284"
"Joel De La Cruz","Braves","52.1 %","91.4","23.4 %","86.0","","","","","24.4 %","84.5","","","","","0.1 %","12825"
"Scott Kazmir","- - -","56.7 %","91.3","8.3 %","81.0","10.6 %","87.1","5.5 %","77.0","19.0 %","76.4","","","","","0.2 %","4897"
"Gio Gonzalez","Nationals","64.7 %","91.3","","","","","19.2 %","77.5","16.1 %","83.8","","","","","0.3 %","7448"
"Andrew Heaney","Angels","62.9 %","91.3","18.4 %","79.6","","","","","18.8 %","83.0","","","","","0.2 %","15423"
"Tyler Clippard","- - -","44.9 %","91.3","","","6.6 %","81.4","2.1 %","75.6","35.4 %","79.1","11.0 %","82.0","","","0.6 %","5640"
"Odrisamer Despaigne","- - -","62.2 %","91.3","0.2 %","84.2","11.2 %","88.1","17.1 %","75.1","9.3 %","77.6","","","","","0.7 %","16017"
"Jake Thompson","Phillies","49.8 %","91.3","21.4 %","83.0","10.6 %","90.0","2.3 %","77.9","15.9 %","83.4","","","","","0.7 %","14371"
"Matt Albers","- - -","72.5 %","91.2","16.2 %","85.5","","","1.7 %","79.7","9.6 %","81.1","","","","","0.8 %","4300"
"Jonathan Papelbon","- - -","67.0 %","91.2","18.2 %","79.7","","","","","","","14.8 %","85.9","","","1.4 %","5975"
"Braden Shipley","Diamondbacks","56.2 %","91.2","","","","","24.6 %","79.8","19.2 %","84.4","","","","","0.3 %","15158"
"Masahiro Tanaka","Yankees","32.8 %","91.2","23.9 %","83.8","9.2 %","88.7","6.1 %","76.1","","","28.0 %","87.1","","","0.0 %","15764"
"Fernando Abad","- - -","54.3 %","91.2","","","9.8 %","86.1","19.6 %","76.7","16.3 %","74.0","","","","","1.1 %","4994"
"Felix Hernandez","Mariners","45.2 %","91.2","6.1 %","84.7","","","21.2 %","79.8","27.6 %","87.6","","","","","0.1 %","4772"
"Matt Boyd","- - -","57.4 %","91.2","13.9 %","82.9","","","10.9 %","73.4","17.9 %","79.5","","","","","","15440"
"Tyrell Jenkins","Braves","65.2 %","91.2","","","","","18.7 %","80.2","16.2 %","81.7","","","","","0.5 %","11378"
"Zack Godley","Diamondbacks","33.6 %","91.2","","","35.5 %","90.1","21.7 %","81.7","9.3 %","83.0","","","","","0.9 %","14862"
"Miguel Gonzalez","- - -","52.6 %","91.2","19.5 %","85.8","","","10.5 %","76.8","","","17.4 %","84.1","","","0.2 %","7024"
"Severino Gonzalez","Phillies","62.6 %","91.1","6.8 %","77.4","0.3 %","87.0","15.2 %","80.4","15.2 %","84.7","","","","","0.4 %","14697"
"Tyler Anderson","Rockies","46.0 %","91.1","20.3 %","86.4","4.2 %","87.3","0.9 %","76.2","28.6 %","81.8","","","","","0.3 %","12880"
"George Kontos","Giants","36.6 %","91.1","19.7 %","84.1","39.7 %","87.6","1.5 %","79.7","2.5 %","84.7","","","","","1.2 %","9486"
"Wei-Yin Chen","- - -","62.7 %","91.1","16.6 %","83.7","","","9.6 %","73.9","11.1 %","83.1","","","","","0.0 %","13071"
"Erasmo Ramirez","Rays","57.8 %","91.1","16.0 %","84.5","1.5 %","89.2","3.1 %","77.7","21.6 %","81.3","","","","","0.6 %","10314"
"Steve Cishek","- - -","52.7 %","91.1","46.0 %","79.4","","","","","1.2 %","83.1","","","","","0.8 %","6483"
"Nick Tropeano","Angels","51.5 %","91.0","","","","","24.5 %","80.2","19.4 %","82.2","4.6 %","80.3","","","0.4 %","12385"
"Tyler Cravy","Brewers","57.4 %","91.0","15.1 %","84.2","","","8.9 %","78.6","18.5 %","84.3","","","","","0.7 %","10770"
"Jerad Eickhoff","Phillies","53.3 %","91.0","17.8 %","82.2","","","23.8 %","75.2","5.0 %","84.0","","","","","0.4 %","12664"
"Mat Latos","- - -","60.6 %","91.0","17.4 %","85.0","0.4 %","88.6","6.5 %","75.8","4.1 %","83.4","11.1 %","80.6","","","0.3 %","3815"
"Brandon Gomes","Rays","39.9 %","91.0","32.0 %","81.3","","","5.2 %","75.6","","","22.8 %","82.6","","","1.0 %","2267"
"Adam Conley","Marlins","65.0 %","91.0","17.7 %","84.9","","","0.0 %","71.0","17.2 %","82.8","","","","","0.8 %","14457"
"Ryan Dull","Athletics","57.4 %","91.0","35.1 %","82.9","","","","","7.5 %","83.7","","","","","0.9 %","13974"
"Julio Teheran","Braves","58.8 %","90.9","24.6 %","80.8","","","8.3 %","71.7","8.3 %","82.1","","","","","0.3 %","6797"
"Fernando Salas","- - -","59.3 %","90.9","22.2 %","83.4","0.8 %","88.1","","","17.7 %","85.5","","","","","1.4 %","4971"
"Jorge de la Rosa","- - -","34.4 %","90.9","0.2 %","86.9","22.1 %","86.7","7.8 %","73.2","35.6 %","82.0","","","","","0.4 %","2047"
"Matt Shoemaker","Angels","52.0 %","90.9","14.3 %","82.2","","","4.0 %","75.3","0.0 %","84.0","29.7 %","84.4","","","0.5 %","4776"
"Joe Blanton","- - -","38.5 %","90.9","35.6 %","85.7","","","12.3 %","79.9","13.7 %","85.6","","","","","1.3 %","4849"
"A.J. Burnett","Pirates","64.0 %","90.9","","","","","29.4 %","81.8","6.7 %","85.2","","","","","0.4 %","512"
"Hector Santiago","- - -","61.8 %","90.9","6.1 %","80.7","7.0 %","86.4","5.4 %","74.7","19.6 %","82.8","0.1 %","75.3","","","0.3 %","4026"
"Kris Medlen","Royals","58.2 %","90.9","","","5.9 %","84.8","18.3 %","78.4","17.6 %","84.5","","","","","0.1 %","9417"
"Aaron Blair","Braves","58.4 %","90.9","","","","","22.6 %","78.4","19.0 %","84.7","","","","","1.3 %","14934"
"Drew Pomeranz","- - -","54.4 %","90.9","","","8.0 %","85.9","36.9 %","79.4","0.7 %","83.5","","","","","0.3 %","11426"
"Chad Qualls","- - -","59.3 %","90.9","39.0 %","85.3","","","","","","","1.7 %","81.1","","","0.6 %","2170"
"Alex Cobb","Rays","44.8 %","90.9","","","","","29.3 %","80.1","25.9 %","85.2","","","","","","6562"
"Ross Stripling","Dodgers","46.4 %","90.8","23.4 %","86.9","","","20.6 %","77.8","9.7 %","82.5","","","","","0.9 %","13273"
"Williams Perez","Braves","72.6 %","90.8","","","","","12.9 %","76.7","14.5 %","79.2","","","","","0.6 %","11592"
"Tony Sipp","Astros","49.5 %","90.8","29.3 %","80.6","","","","","21.2 %","78.1","0.1 %","78.0","","","0.2 %","8280"
"Clayton Richard","- - -","73.5 %","90.8","13.6 %","81.3","1.5 %","85.6","","","11.4 %","84.1","","","","","0.9 %","3551"
"Felix Doubront","- - -","55.6 %","90.8","","","18.4 %","87.0","12.9 %","75.7","13.1 %","83.2","","","","","0.3 %","1478"
"Mike Leake","- - -","46.4 %","90.8","9.3 %","81.1","27.2 %","89.6","9.2 %","79.4","8.0 %","85.3","","","","","0.5 %","10130"
"Yohan Flande","Rockies","53.7 %","90.8","9.7 %","84.5","","","","","36.6 %","85.1","","","","","1.4 %","5057"
"Jose Alvarez","Angels","48.6 %","90.8","24.7 %","84.6","","","9.1 %","76.6","17.6 %","79.5","","","","","1.7 %","5358"
"Matt Belisle","- - -","55.5 %","90.8","33.2 %","85.9","","","9.5 %","74.8","1.8 %","86.3","","","","","1.4 %","1837"
"Ryan Vogelsong","- - -","51.0 %","90.7","","","20.1 %","87.7","18.7 %","76.3","10.2 %","83.5","","","","","0.4 %","1011"
"Evan Scribner","- - -","50.6 %","90.7","21.3 %","86.0","","","28.1 %","71.7","0.1 %","84.0","","","","","0.5 %","7525"
"A.J. Achter","- - -","52.1 %","90.7","13.5 %","80.3","","","","","34.4 %","83.0","","","","","0.6 %","11387"
"James Shields","- - -","42.7 %","90.7","0.7 %","80.9","19.1 %","86.1","17.3 %","77.5","20.2 %","84.0","","","","","0.5 %","7059"
"Tim Adleman","Reds","63.0 %","90.7","","","","","17.7 %","75.4","19.2 %","84.1","","","","","0.5 %","10968"
"Brett Anderson","- - -","53.5 %","90.7","24.6 %","82.0","","","12.2 %","75.9","9.8 %","83.3","","","","","0.3 %","8223"
"Deolis Guerra","- - -","43.7 %","90.6","1.2 %","84.4","2.8 %","86.9","9.2 %","78.3","43.2 %","80.7","","","","","","8410"
"Erik Johnson","- - -","67.2 %","90.6","18.5 %","83.4","","","5.9 %","71.6","8.5 %","80.6","","","","","0.2 %","12520"
"Kevin Quackenbush","Padres","68.4 %","90.6","2.9 %","82.9","","","27.7 %","78.4","","","1.0 %","83.6","","","0.9 %","12360"
"Wade Miley","- - -","54.7 %","90.6","17.5 %","84.2","0.7 %","89.1","9.8 %","77.0","17.3 %","82.8","","","","","0.1 %","8779"
"Alec Asher","- - -","55.9 %","90.6","16.5 %","83.7","5.5 %","88.9","8.4 %","79.5","13.8 %","82.1","","","","","","13560"
"Rick Porcello","Red Sox","63.5 %","90.6","11.4 %","85.5","","","14.2 %","74.3","10.9 %","81.0","","","","","0.0 %","2717"
"Zach Putnam","White Sox","22.9 %","90.6","","","13.3 %","88.7","","","","","63.8 %","84.6","","","1.2 %","9080"
"Jhoulys Chacin","- - -","52.9 %","90.5","23.4 %","81.3","6.9 %","87.0","9.4 %","78.0","7.5 %","83.6","","","","","0.6 %","2608"
"Phil Hughes","Twins","54.9 %","90.5","","","21.3 %","87.6","17.8 %","76.7","6.0 %","83.6","","","","","","7450"
"Miguel Socolovich","Cardinals","43.6 %","90.5","24.6 %","82.2","","","","","31.9 %","81.9","","","","","0.8 %","6697"
"Brian Matusz","- - -","55.2 %","90.5","26.0 %","84.0","","","5.0 %","78.3","13.9 %","82.0","","","","","1.4 %","2646"
"Nick Martinez","Rangers","60.6 %","90.4","22.0 %","82.7","","","7.1 %","76.0","10.3 %","83.5","","","","","0.2 %","12730"
"Ricky Nolasco","- - -","49.1 %","90.4","31.7 %","81.2","","","11.6 %","73.1","","","7.6 %","79.8","","","0.2 %","3830"
"Tyler Duffey","Twins","56.1 %","90.4","","","","","38.4 %","80.0","5.5 %","82.6","","","","","0.3 %","13758"
"Jaime Garcia","- - -","61.8 %","90.4","","","16.8 %","82.2","4.1 %","72.2","17.4 %","82.5","","","","","0.4 %","8137"
"David Hale","Rockies","63.1 %","90.4","19.1 %","81.1","","","","","17.8 %","79.3","","","","","0.7 %","9756"
"Aaron Nola","Phillies","59.8 %","90.4","","","","","30.1 %","76.4","10.0 %","82.0","","","","","0.4 %","16149"
"Eric O'Flaherty","- - -","71.2 %","90.4","27.7 %","83.7","","","","","1.1 %","86.5","","","","","1.4 %","5746"
"Josh Smith","Reds","43.4 %","90.4","32.1 %","84.4","","","19.4 %","77.7","5.2 %","79.7","","","","","1.1 %","10946"
