"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Neftali Feliz","- - -","66.0 %","95.6","25.9 %","83.9","0.3 %","91.0","","","7.8 %","88.0","","","","","1.3 %","18"
"Gerrit Cole","Pirates","66.1 %","95.6","19.9 %","87.4","","","8.8 %","81.4","5.2 %","88.4","","","","","0.3 %","13125"
"Josh Osich","Giants","57.6 %","95.6","","","28.7 %","91.0","1.3 %","81.0","12.5 %","85.4","","","","","0.3 %","11528"
"Garrett Richards","Angels","61.3 %","95.5","31.8 %","87.5","","","5.4 %","79.5","1.5 %","87.9","","","","","0.3 %","9784"
"Kyle Barraclough","Marlins","56.3 %","95.5","40.6 %","82.4","","","","","3.1 %","89.5","","","","","0.7 %","13713"
"Sam Dyson","- - -","72.6 %","95.5","10.2 %","85.0","","","","","17.2 %","88.8","","","","","0.3 %","11710"
"Wade Davis","- - -","50.9 %","95.5","","","29.7 %","92.2","19.3 %","84.0","0.1 %","90.0","","","","","0.3 %","7441"
"Carlos Martinez","Cardinals","57.3 %","95.5","22.0 %","85.4","","","2.8 %","81.5","17.9 %","86.9","","","","","0.6 %","11682"
"Hansel Robles","Mets","66.7 %","95.4","25.6 %","85.9","","","","","7.8 %","88.6","","","","","0.8 %","11801"
"Brandon Maurer","Padres","50.0 %","95.4","20.2 %","84.9","15.7 %","88.3","","","14.1 %","85.6","","","","","1.2 %","4878"
"Jose Fernandez","Marlins","54.2 %","95.4","27.0 %","83.9","","","6.3 %","82.6","12.6 %","88.3","","","","","0.6 %","11530"
"Matt Harvey","Mets","60.4 %","95.2","16.1 %","89.2","","","11.2 %","83.3","12.3 %","87.6","","","","","0.3 %","11713"
"Justin Wilson","- - -","72.3 %","95.2","0.1 %","87.0","21.6 %","90.5","5.9 %","83.0","0.2 %","89.3","","","","","0.4 %","4301"
"Corey Knebel","Brewers","70.0 %","95.2","","","","","30.0 %","80.7","0.1 %","86.0","","","","","0.8 %","15010"
"Stephen Strasburg","Nationals","59.6 %","95.2","9.2 %","89.3","","","17.2 %","81.7","14.0 %","88.7","","","","","0.1 %","10131"
"Jeremy Jeffress","- - -","76.9 %","95.1","","","","","20.3 %","80.3","2.8 %","89.1","","","","","1.5 %","9490"
"Mike Foltynewicz","Braves","65.1 %","95.1","18.3 %","84.8","","","10.3 %","77.3","6.2 %","85.0","","","","","0.2 %","10811"
"Pedro Strop","Cubs","47.2 %","95.0","49.5 %","83.1","","","","","","","3.4 %","88.0","","","1.3 %","4070"
"Ryan Tepera","Blue Jays","45.6 %","95.0","8.7 %","84.6","41.7 %","89.2","","","4.1 %","87.9","","","","","0.9 %","10291"
"Jon Gray","Rockies","57.4 %","95.0","24.9 %","88.4","","","9.0 %","78.0","8.7 %","85.3","","","","","0.3 %","14916"
"Edubray Ramos","Phillies","53.5 %","95.0","45.3 %","81.8","","","","","1.1 %","85.2","","","","","0.9 %","16086"
"Carl Edwards Jr.","Cubs","71.5 %","95.0","","","","","27.8 %","80.5","0.7 %","89.5","","","","","0.1 %","13607"
"Ryan Pressly","Twins","53.7 %","95.0","24.6 %","88.7","","","21.5 %","83.1","0.2 %","87.8","","","","","0.6 %","7005"
"Scott Oberg","Rockies","62.1 %","95.0","22.1 %","85.8","","","9.9 %","78.0","5.9 %","87.6","","","","","1.0 %","13911"
"Tom Wilhelmsen","- - -","53.3 %","94.9","","","22.8 %","87.0","15.0 %","77.3","8.9 %","87.3","","","","","0.6 %","9975"
"Michael Feliz","Astros","64.9 %","94.9","30.2 %","82.4","","","","","5.0 %","84.4","","","","","","11903"
"Jake Barrett","Diamondbacks","62.8 %","94.9","30.6 %","87.0","","","","","0.5 %","86.4","6.1 %","85.2","","","1.5 %","13322"
"Kevin Gausman","Orioles","67.3 %","94.9","13.3 %","80.6","","","0.2 %","79.0","3.3 %","84.7","15.9 %","84.8","","","0.0 %","14107"
"Aaron Sanchez","Blue Jays","75.9 %","94.8","0.9 %","89.4","0.2 %","93.3","15.1 %","78.4","7.8 %","88.5","","","","","0.1 %","11490"
"Cam Bedrosian","Angels","68.9 %","94.8","30.6 %","82.9","","","","","0.5 %","88.9","","","","","1.0 %","13360"
"Zach McAllister","Indians","76.8 %","94.8","8.8 %","88.6","","","13.0 %","80.8","","","1.4 %","88.1","","","0.9 %","2895"
"Michael Fulmer","Tigers","57.2 %","94.8","25.2 %","88.1","","","","","17.6 %","86.4","","","","","0.1 %","13218"
"Justin Grimm","Cubs","52.6 %","94.8","3.0 %","84.2","","","44.4 %","82.7","","","","","","","0.7 %","11720"
"Chris Archer","Rays","51.1 %","94.8","40.3 %","88.1","","","","","8.6 %","86.5","","","","","0.0 %","6345"
"Danny Salazar","Indians","67.5 %","94.7","6.8 %","85.3","","","4.8 %","80.4","20.9 %","85.6","","","","","0.3 %","5867"
"Wily Peralta","Brewers","63.9 %","94.7","29.7 %","83.9","","","1.4 %","80.7","5.1 %","84.3","","","","","0.4 %","7738"
"J.R. Graham","Twins","66.8 %","94.7","29.6 %","84.3","","","","","3.6 %","83.2","","","","","","12042"
"Jhan Marinez","- - -","75.8 %","94.7","23.6 %","85.5","","","","","0.6 %","91.4","","","","","1.7 %","5830"
"Fernando Rodney","- - -","59.7 %","94.6","0.4 %","86.3","","","","","40.0 %","82.8","","","","","1.0 %","494"
"Michael Lorenzen","Reds","59.3 %","94.6","13.9 %","85.8","12.1 %","93.0","9.3 %","80.4","5.4 %","85.3","","","","","1.1 %","14843"
"Luis Cessa","Yankees","49.3 %","94.6","23.7 %","85.2","","","15.6 %","80.4","11.4 %","84.9","","","","","","13345"
"Jose Urena","Marlins","63.7 %","94.6","17.3 %","85.4","","","1.7 %","82.8","17.3 %","88.6","","","","","1.0 %","11589"
"Cody Allen","Indians","62.3 %","94.5","","","","","37.4 %","84.8","0.4 %","87.1","","","","","0.4 %","12183"
"Jason Motte","- - -","73.7 %","94.5","2.2 %","82.1","22.1 %","88.3","","","2.0 %","81.6","","","","","1.9 %","5861"
"Carlos Frias","Dodgers","56.4 %","94.5","0.1 %","88.0","29.4 %","89.8","5.3 %","80.0","8.9 %","87.1","","","","","0.3 %","3547"
"Liam Hendriks","- - -","71.1 %","94.5","21.9 %","87.5","","","5.1 %","77.6","1.9 %","88.8","","","","","0.6 %","3548"
"Bryan Morris","Marlins","53.0 %","94.5","12.3 %","83.9","34.4 %","89.2","0.2 %","80.5","0.2 %","87.5","","","","","0.2 %","10234"
"Josh Fields","- - -","68.1 %","94.5","9.0 %","84.1","","","18.4 %","78.8","4.5 %","79.2","","","","","1.2 %","5070"
"Andrew Miller","- - -","42.0 %","94.4","58.0 %","83.8","","","","","","","","","","","0.2 %","6785"
"Luke Hochevar","Royals","38.1 %","94.4","","","42.6 %","89.3","19.3 %","79.0","","","","","","","","6943"
"Jameson Taillon","Pirates","63.8 %","94.4","","","","","25.8 %","80.4","10.4 %","87.2","","","","","0.3 %","11674"
"Joe Biagini","Blue Jays","58.1 %","94.4","18.7 %","89.7","","","16.9 %","80.1","6.2 %","86.2","","","","","0.3 %","13194"
"Rubby de la Rosa","Diamondbacks","59.6 %","94.4","23.2 %","85.3","","","0.3 %","78.2","16.9 %","86.5","","","","","0.4 %","3862"
"Jacob deGrom","Mets","60.7 %","94.4","17.5 %","89.2","","","10.0 %","81.1","11.8 %","85.7","","","","","0.2 %","10954"
"Mychal Givens","Orioles","63.6 %","94.4","29.5 %","85.3","","","","","7.0 %","85.2","","","","","0.5 %","10430"
"Alexi Ogando","- - -","65.6 %","94.3","28.4 %","85.9","","","","","6.0 %","87.2","","","","","1.7 %","10261"
"Alex Colome","Rays","52.3 %","94.3","33.6 %","88.3","","","6.3 %","80.2","7.8 %","85.5","","","","","0.6 %","6661"
"Dustin McGowan","- - -","63.9 %","94.3","29.5 %","86.8","","","","","6.6 %","87.4","","","","","2.3 %","8600"
"Lance McCullers","Astros","48.3 %","94.3","","","","","42.7 %","84.8","9.0 %","88.6","","","","","0.4 %","14120"
"Joaquin Benoit","- - -","50.7 %","94.3","18.7 %","87.2","","","0.6 %","79.0","30.0 %","84.1","","","","","0.4 %","1437"
"Adam Ottavino","Rockies","51.3 %","94.3","46.2 %","82.1","2.6 %","89.5","","","","","","","","","","1247"
"Jonathan Broxton","- - -","60.3 %","94.2","30.9 %","87.6","","","1.8 %","77.2","7.0 %","87.9","","","","","1.3 %","4759"
"Jeff Samardzija","- - -","44.0 %","94.2","19.9 %","85.7","21.0 %","92.4","3.7 %","80.0","","","11.4 %","85.4","","","0.3 %","3254"
"Brad Brach","Orioles","60.7 %","94.2","15.5 %","85.8","","","","","23.8 %","86.2","","","","","0.5 %","6627"
"Max Scherzer","Nationals","57.0 %","94.2","20.8 %","86.2","1.4 %","89.1","8.2 %","78.6","12.6 %","85.1","","","","","0.2 %","3137"
"Ryan Madson","- - -","58.3 %","94.2","","","12.8 %","90.1","3.1 %","80.9","25.8 %","83.6","","","","","0.9 %","1852"
"Danny Duffy","Royals","60.7 %","94.2","23.9 %","82.3","","","0.3 %","76.7","15.1 %","85.1","","","","","","3542"
"Juan Nicasio","- - -","71.1 %","94.2","26.3 %","86.5","","","","","2.6 %","86.7","","","","","1.1 %","7731"
"Andrew Cashner","- - -","65.8 %","94.2","19.9 %","86.4","","","5.2 %","81.1","9.1 %","85.5","","","","","0.4 %","8782"
"Carlos Carrasco","Indians","54.1 %","94.1","19.2 %","87.8","","","11.3 %","83.3","15.4 %","88.7","","","","","0.3 %","6632"
"Mike Dunn","- - -","62.1 %","94.1","37.4 %","87.1","","","0.5 %","75.2","","","","","","","0.3 %","9948"
"Jake Petricka","White Sox","74.1 %","94.1","11.2 %","86.9","","","","","14.7 %","86.4","","","","","1.8 %","10534"
"Sean Doolittle","Athletics","88.4 %","94.1","7.5 %","81.0","","","","","4.2 %","83.6","","","","","0.8 %","1581"
"Taijuan Walker","- - -","63.0 %","94.1","0.7 %","85.8","7.9 %","88.9","9.7 %","75.4","18.6 %","88.6","","","","","0.2 %","11836"
"David Hernandez","- - -","63.1 %","94.1","0.5 %","87.4","","","35.1 %","81.1","1.3 %","87.7","","","","","0.9 %","4259"
"Heath Hembree","Red Sox","61.3 %","94.1","29.0 %","88.3","","","7.5 %","79.5","2.3 %","88.6","","","","","0.6 %","11632"
"Kevin Jepsen","- - -","66.5 %","94.0","","","","","24.9 %","82.2","8.6 %","85.0","","","","","0.4 %","6475"
"Vince Velasquez","- - -","66.0 %","94.0","10.2 %","84.0","","","12.2 %","80.4","11.6 %","87.3","","","","","0.2 %","11189"
"Jake Arrieta","Cubs","58.0 %","94.0","","","23.1 %","89.8","13.9 %","80.4","4.9 %","88.6","","","","","0.2 %","4153"
"Michael Tonkin","Twins","70.6 %","94.0","28.4 %","82.9","0.5 %","89.7","","","0.6 %","89.0","","","","","0.3 %","10315"
"Ross Ohlendorf","- - -","57.9 %","93.9","24.3 %","81.8","","","","","17.8 %","86.3","","","","","0.7 %","8268"
"Gonzalez Germen","- - -","59.0 %","93.9","7.5 %","86.8","","","","","33.5 %","85.7","","","","","1.7 %","5876"
"Jim Johnson","- - -","71.2 %","93.8","","","","","22.1 %","79.5","6.7 %","88.3","","","","","0.4 %","3656"
"Michael Wacha","Cardinals","55.4 %","93.8","","","14.8 %","89.9","10.7 %","75.4","19.2 %","86.0","","","","","0.7 %","14078"
"Steven Matz","Mets","63.0 %","93.8","8.6 %","87.3","","","17.1 %","77.9","11.4 %","83.3","","","","","0.3 %","13361"
"Hector Neris","Phillies","49.8 %","93.8","5.9 %","86.8","","","","","","","44.3 %","86.7","","","0.5 %","11804"
"Jake McGee","- - -","88.4 %","93.8","4.1 %","81.2","","","7.5 %","74.2","","","","","","","0.6 %","7550"
"Ian Krol","- - -","62.0 %","93.8","","","28.6 %","87.3","5.6 %","77.7","3.8 %","85.3","","","","","0.9 %","10066"
"Mark Lowe","- - -","54.0 %","93.8","45.0 %","85.7","","","","","1.0 %","86.9","","","","","0.8 %","7416"
"Shelby Miller","- - -","64.7 %","93.8","","","21.5 %","87.7","10.9 %","78.5","3.0 %","86.3","","","","","0.8 %","10197"
