"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension"
"2928",572070,"Garrett Richards","3250","90.09","0.241","0.126","0.284","0.367","0.299","0.292","0.225","165","684","85.3","4.2","2601","92.4","91.19","339","1339","1569","-1.2","5.72"
"59",445968,"Dana Eveland","61","96.72","0.308","0.462","0.333","0.769","0.462","0.374","0.259","4","13","88.5","3.1","2574","84.7","83.00","7","23","32","-1.7","5.65"
"744",445276,"Kenley Jansen","795","93.58","0.174","0.138","0.247","0.311","0.229","0.217","0.155","29","167","86.0","24.4","2555","92.6","93.60","130","411","329","1.0","6.98"
"66",605218,"Carl Edwards Jr.","72","91.67","0.200","0.067","0.273","0.267","0.286","0.339","0.245","3","15","82.2","11.1","2536","88.4","88.97","7","23","43","0.6","6.71"
"911",502085,"David Robertson","981","92.86","0.208","0.148","0.299","0.356","0.267","0.282","0.230","45","216","87.4","17.0","2488","89.5","89.58","144","427","473","0.1","6.61"
"904",518886,"Craig Kimbrel","1008","89.68","0.163","0.132","0.238","0.295","0.243","0.235","0.166","31","190","85.7","12.1","2479","94.8","94.72","160","421","478","-0.1","6.34"
"144",457732,"Andrew Bailey","167","86.23","0.231","0.231","0.182","0.462","0.336","0.385","0.252","6","26","84.9","18.1","2472","88.7","88.43","15","63","77","-0.3","6.31"
"137",543261,"Jason Gurka","143","95.80","0.417","0.250","0.500","0.667","0.476","0.361","0.304","15","36","88.2","5.5","2466","86.0","85.60","20","70","67","-0.4","6.18"
"744",489265,"Sergio Romo","881","84.45","0.212","0.092","0.311","0.304","0.243","0.236","0.205","39","184","84.6","12.0","2459","81.9","81.50","134","356","376","-0.4","6.09"
"706",554340,"Yimi Garcia","842","83.85","0.215","0.155","0.267","0.370","0.271","0.263","0.195","39","181","87.0","25.3","2458","91.5","90.77","122","380","321","-0.7","5.95"
"269",457754,"Jon Edwards","315","85.40","0.226","0.264","0.258","0.491","0.372","0.321","0.181","12","53","86.2","23.4","2456","91.4","90.78","34","107","162","-0.6","5.79"
"470",519381,"Pat Venditte","489","96.11","0.214","0.194","0.240","0.408","0.301","0.293","0.209","21","98","84.2","20.5","2453","78.6","77.96","44","201","269","-0.6","6.01"
"2815",475115,"Tyson Ross","3231","87.12","0.241","0.099","0.322","0.341","0.303","0.282","0.212","156","646","86.4","2.8","2447","90.8","89.36","356","1201","1579","-1.4","5.42"
"1093",592102,"Cody Allen","1139","95.96","0.221","0.088","0.349","0.308","0.274","0.269","0.204","53","240","87.8","16.7","2441","92.1","92.00","154","483","601","-0.1","6.33"
"743",488984,"Tommy Hunter","881","84.34","0.282","0.164","0.304","0.446","0.327","0.318","0.263","55","195","86.9","11.7","2441","93.4","93.07","75","385","344","-0.3","6.09"
