"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension"
"367",519151,"Ryan Pressly","424","86.56","0.266","0.064","0.333","0.330","0.302","0.323","0.270","25","94","88.6","13.6","2441","90.1","89.31","31","173","189","-0.8","5.92"
"931",455374,"Antonio Bastardo","1057","88.08","0.188","0.114","0.248","0.301","0.274","0.283","0.189","33","176","86.8","20.6","2437","91.6","91.31","142","466","451","-0.3","6.35"
"980",451584,"Wade Davis","1050","93.33","0.153","0.102","0.208","0.256","0.215","0.258","0.196","33","215","84.5","15.5","2434","93.5","92.49","119","457","512","-1.0","5.88"
"406",469134,"Esmil Rogers","578","70.24","0.289","0.178","0.324","0.467","0.368","0.350","0.276","26","90","85.8","12.0","2434","88.8","87.41","49","191","214","-1.4","5.64"
"126",542888,"Shawn Armstrong","131","96.18","0.200","0.200","0.267","0.400","0.285","0.281","0.207","5","25","89.1","14.6","2431","93.2","94.14","19","55","71","0.9","6.69"
"646",475054,"Chaz Roe","702","92.02","0.284","0.163","0.343","0.447","0.353","0.300","0.238","40","141","86.8","7.4","2419","89.7","89.56","67","276","358","-0.1","6.05"
"2096",434378,"Justin Verlander","2150","97.49","0.229","0.126","0.269","0.355","0.277","0.263","0.220","109","476","85.7","20.1","2419","89.5","88.88","231","1013","1070","-0.6","6.05"
"903",502272,"Casey Fien","985","91.68","0.249","0.124","0.272","0.373","0.277","0.311","0.263","56","225","87.4","16.1","2418","90.5","89.87","93","478","419","-0.6","5.95"
"1544",408241,"Jake Peavy","1741","88.68","0.233","0.160","0.259","0.393","0.289","0.310","0.241","87","374","86.9","17.3","2409","87.9","86.90","143","765","767","-1.0","5.66"
"31",593582,"Abel De Los Santos","31","100.00","0.286","0.429","0.333","0.714","0.450","0.381","0.212","2","7","81.6","9.5","2407","89.2","88.10","5","16","15","-1.1","5.82"
"4",150274,"Joe Nathan","4","100.00","0.000","0.000","null","0.000","0.000","0.000","0.000","0","1","null","null","2406","88.1","87.38","2","3","1","-0.7","5.56"
"61",518526,"David Carpenter","66","92.42","0.429","0.500","0.500","0.929","0.568","0.388","0.305","6","14","93.5","17.0","2406","85.3","84.24","8","27","34","-1.1","5.74"
"327",448179,"Rich Hill","437","74.83","0.128","0.038","0.191","0.167","0.157","0.204","0.167","10","78","85.9","11.6","2401","83.4","82.98","43","155","170","-0.4","6.31"
"1080",501789,"Will Harris","1127","95.83","0.165","0.124","0.190","0.289","0.235","0.286","0.218","40","242","85.4","8.1","2399","90.0","89.88","106","484","586","-0.1","6.30"
"808",570663,"Hansel Robles","891","90.68","0.169","0.169","0.205","0.337","0.257","0.250","0.178","30","178","86.4","18.7","2398","94.1","93.31","110","395","403","-0.8","6.19"
"902",451775,"Fernando Rodriguez","985","91.57","0.180","0.095","0.243","0.275","0.248","0.293","0.212","36","200","84.7","16.5","2396","91.3","90.60","134","468","428","-0.7","5.88"
"510",571871,"Ian Krol","537","94.97","0.269","0.115","0.342","0.385","0.342","0.308","0.225","28","104","87.1","14.1","2394","90.8","88.91","54","237","261","-1.9","5.30"
"114",493603,"Adam Ottavino","142","80.28","0.107","0.000","0.158","0.107","0.155","0.202","0.141","3","28","84.8","5.0","2393","90.8","90.85","15","52","61","0.1","6.52"
"598",429783,"Rafael Betancourt","703","85.06","0.268","0.176","0.333","0.444","0.327","0.267","0.215","38","142","88.9","26.4","2393","88.5","88.21","76","316","267","-0.3","6.25"
"2579",519144,"Rick Porcello","2745","93.95","0.282","0.157","0.329","0.439","0.331","0.319","0.263","183","649","86.7","9.1","2391","87.9","87.75","259","1217","1347","-0.2","6.31"
"2050",621121,"Lance McCullers","2110","97.16","0.228","0.137","0.291","0.365","0.293","0.302","0.234","105","460","87.7","9.9","2389","90.8","90.21","222","894","1144","-0.6","6.02"
"930",547973,"Aroldis Chapman","1169","79.56","0.156","0.032","0.326","0.188","0.230","0.243","0.152","29","186","83.9","16.2","2385","98.1","98.76","193","421","503","0.7","6.85"
"876",519267,"Evan Scribner","922","95.01","0.248","0.243","0.282","0.491","0.320","0.326","0.261","56","226","87.8","15.4","2384","85.2","84.61","131","449","424","-0.6","6.00"
"1124",448178,"Kevin Jepsen","1164","96.56","0.205","0.078","0.241","0.283","0.254","0.309","0.235","50","244","88.0","12.5","2383","91.1","90.78","130","520","597","-0.3","6.29"
"909",458708,"Josh Tomlin","949","95.79","0.194","0.219","0.198","0.414","0.272","0.314","0.240","46","237","89.1","17.3","2380","85.8","84.65","94","452","455","-1.2","5.39"
"576",571951,"Bryan Mitchell","596","96.64","0.289","0.140","0.352","0.430","0.359","0.330","0.262","35","121","86.0","7.2","2380","91.8","91.53","58","264","304","-0.3","6.34"
"735",553878,"Felipe Rivero","761","96.58","0.179","0.060","0.234","0.238","0.215","0.276","0.218","30","168","85.2","13.6","2379","92.7","91.64","90","369","353","-1.1","5.92"
"164",571584,"Caleb Cotham","179","91.62","0.308","0.282","0.360","0.590","0.370","0.320","0.265","12","39","90.0","6.5","2379","90.1","89.70","18","90","72","-0.4","6.07"
"383",543883,"Nick Vincent","416","92.07","0.280","0.073","0.365","0.354","0.320","0.309","0.242","23","82","87.4","16.7","2378","88.0","87.56","38","199","176","-0.4","5.91"
"1005",543766,"Bryan Shaw","1044","96.26","0.233","0.157","0.270","0.390","0.297","0.320","0.252","55","236","86.2","10.5","2371","90.0","89.11","116","486","513","-0.9","5.51"
"203",514669,"Rafael Martin","247","82.19","0.256","0.205","0.471","0.462","0.350","0.327","0.219","10","39","90.8","22.9","2370","88.0","86.49","40","105","97","-1.5","5.48"
"482",543746,"Rob Scahill","535","90.09","0.248","0.106","0.292","0.354","0.308","0.295","0.225","28","113","86.0","2.4","2368","90.4","89.32","46","215","250","-1.1","5.73"
"386",623395,"Brian Ellington","445","86.74","0.200","0.125","0.221","0.325","0.285","0.325","0.242","16","80","86.2","17.5","2368","94.0","92.96","37","197","180","-1.0","5.99"
"79",543409,"Michael Kohn","80","98.75","0.000","0.000","0.000","0.000","0.221","0.290","0.085","0","13","83.9","36.3","2366","92.2","90.66","6","32","47","-1.5","5.57"
"43",592527,"Michael Mariot","44","97.73","0.200","0.300","0.125","0.500","0.358","0.499","0.379","2","10","96.0","19.4","2365","90.4","88.40","2","17","26","-2.0","5.65"
"1050",453265,"Tony Watson","1116","94.09","0.208","0.060","0.255","0.268","0.242","0.281","0.233","52","250","83.7","10.9","2362","92.3","91.53","131","551","488","-0.8","6.22"
"134",477229,"Jordan Walden","156","85.90","0.194","0.065","0.273","0.258","0.247","0.281","0.233","6","31","89.8","21.2","2362","90.8","93.06","27","71","59","2.3","7.39"
"376",607457,"Kyle Barraclough","464","81.03","0.185","0.093","0.244","0.278","0.305","0.396","0.272","10","54","88.2","19.3","2361","92.2","90.98","49","156","212","-1.2","5.83"
"264",464416,"Yohan Pino","279","94.62","0.288","0.137","0.317","0.425","0.324","0.337","0.278","21","73","87.2","16.4","2360","86.6","86.15","16","127","136","-0.4","6.09"
"1210",476454,"Dellin Betances","1370","88.32","0.154","0.071","0.257","0.224","0.234","0.251","0.168","39","254","83.1","9.1","2356","91.2","90.79","203","499","703","-0.4","6.20"
"972",605476,"Carson Smith","1068","91.01","0.195","0.059","0.309","0.255","0.254","0.247","0.177","43","220","85.6","-0.4","2355","89.5","88.14","122","377","562","-1.4","5.76"
"1093",543339,"Daniel Hudson","1160","94.22","0.246","0.135","0.314","0.381","0.306","0.322","0.250","60","244","87.5","16.4","2352","92.4","92.03","153","526","556","-0.4","6.15"
"977",453343,"Mark Melancon","1088","89.80","0.210","0.082","0.265","0.292","0.244","0.259","0.220","51","243","83.9","4.0","2346","88.3","88.04","127","486","479","-0.3","6.29"
"793",608349,"Corey Knebel","831","95.43","0.237","0.215","0.295","0.452","0.325","0.289","0.215","44","186","88.5","12.6","2345","91.1","90.71","85","378","411","-0.4","6.21"
"1014",543331,"J.J. Hoover","1119","90.62","0.204","0.162","0.236","0.366","0.297","0.313","0.231","39","191","83.3","14.5","2340","90.0","89.24","110","444","561","-0.8","5.82"
"179",608167,"Jonathan Aro","183","97.81","0.357","0.286","0.394","0.643","0.438","0.373","0.306","15","42","88.3","25.8","2339","90.8","90.57","21","91","88","-0.2","6.31"
"819",460024,"Luke Hochevar","871","94.03","0.242","0.167","0.291","0.409","0.308","0.275","0.216","45","186","85.4","17.5","2339","90.3","89.84","94","400","417","-0.5","6.23"
"785",450275,"Mark Lowe","814","96.44","0.237","0.111","0.318","0.347","0.273","0.241","0.209","45","190","85.5","11.0","2338","91.7","90.39","117","378","401","-1.3","5.76"
"880",595014,"Blake Treinen","1031","85.35","0.257","0.092","0.325","0.350","0.322","0.290","0.215","53","206","86.3","0.9","2338","94.4","93.00","85","391","461","-1.4","5.69"
"502",276351,"Jason Grilli","591","84.94","0.196","0.131","0.271","0.327","0.254","0.267","0.202","21","107","88.4","22.6","2337","91.4","90.57","77","266","231","-0.8","6.05"
"209",621397,"Tyler Olson","219","95.43","0.353","0.255","0.381","0.608","0.446","0.341","0.252","18","51","84.5","10.7","2337","82.5","80.35","16","86","94","-2.1","5.11"
"151",502051,"Josh Ravin","189","79.89","0.294","0.176","0.348","0.471","0.368","0.366","0.276","10","34","92.9","12.3","2335","96.3","95.17","14","70","81","-1.1","5.84"
"1395",592717,"Aaron Sanchez","1449","96.27","0.228","0.122","0.252","0.350","0.305","0.328","0.255","73","320","87.8","1.3","2333","93.0","92.72","109","579","807","-0.3","6.38"
"1405",434643,"Wandy Rodriguez","1594","88.14","0.276","0.147","0.324","0.423","0.337","0.329","0.264","86","312","88.3","14.4","2333","83.6","82.60","93","596","799","-1.0","5.69"
"355",592390,"Heath Hembree","392","90.56","0.239","0.205","0.239","0.443","0.319","0.319","0.258","21","88","86.3","21.7","2331","93.1","93.41","38","183","166","0.3","6.60"
"931",430912,"Matt Cain","993","93.76","0.300","0.252","0.312","0.552","0.384","0.395","0.303","69","230","88.0","15.7","2331","87.8","86.28","84","441","483","-1.5","5.29"
"221",518858,"Nate Jones","281","78.65","0.217","0.326","0.208","0.543","0.346","0.326","0.227","10","46","90.4","9.1","2329","94.7","93.62","35","100","120","-1.1","5.91"
"15",425543,"Josh Wilson","16","93.75","0.500","0.750","0.333","1.250","0.725","0.466","0.357","2","4","91.5","16.4","2326","84.3","82.80","1","6","9","-1.5","5.78"
"39",547348,"C.C. Lee","39","100.00","0.444","0.111","0.667","0.556","0.465","0.378","0.298","4","9","77.0","6.5","2325","91.1","90.79","4","18","21","-0.3","6.08"
"1983",543380,"Taylor Jungmann","2048","96.83","0.244","0.141","0.293","0.385","0.313","0.323","0.251","106","434","86.5","10.5","2324","87.8","87.49","179","855","1104","-0.3","6.21"
"2759",458681,"Lance Lynn","3054","90.34","0.250","0.105","0.320","0.356","0.302","0.298","0.234","150","599","86.0","11.8","2320","91.1","90.57","274","1287","1437","-0.5","5.89"
"606",592135,"Cam Bedrosian","632","95.89","0.311","0.148","0.398","0.459","0.379","0.344","0.255","38","122","87.6","11.3","2318","91.8","91.38","50","243","353","-0.4","6.29"
"388",502522,"Justin Miller","527","73.62","0.200","0.138","0.255","0.338","0.286","0.292","0.207","16","80","87.0","18.5","2317","92.8","92.87","49","197","190","0.1","6.47"
"2660",543243,"Sonny Gray","3078","86.42","0.232","0.102","0.263","0.333","0.279","0.308","0.251","153","660","87.6","7.7","2315","90.6","90.22","256","1242","1412","-0.4","6.01"
"998",458677,"Justin Wilson","1048","95.23","0.223","0.083","0.307","0.306","0.273","0.288","0.227","46","206","85.8","12.7","2315","94.5","93.14","140","520","473","-1.4","5.77"
"1070",542882,"Matt Andriese","1088","98.35","0.272","0.146","0.303","0.417","0.322","0.320","0.249","69","254","88.8","9.4","2312","88.7","88.13","101","491","572","-0.6","5.94"
"3140",453562,"Jake Arrieta","3438","91.33","0.180","0.086","0.241","0.266","0.222","0.239","0.201","130","721","83.6","7.1","2312","91.6","90.83","363","1433","1677","-0.8","6.07"
"31",476595,"Lucas Luetge","33","93.94","0.000","0.000","0.000","0.000","0.200","0.312","0.122","0","5","86.9","10.2","2311","87.0","86.19","4","11","20","-0.8","6.35"
"1031",532077,"Roberto Osuna","1092","94.41","0.199","0.169","0.253","0.369","0.264","0.270","0.210","47","236","87.3","16.7","2309","93.2","92.25","167","516","508","-0.9","6.00"
"664",458584,"Xavier Cedeno","742","89.49","0.237","0.099","0.296","0.336","0.290","0.276","0.215","36","152","85.5","3.2","2308","84.8","83.39","95","300","350","-1.4","5.33"
"1032",519043,"Matt Moore","1056","97.73","0.291","0.172","0.321","0.463","0.356","0.343","0.262","71","244","87.7","15.4","2308","88.5","87.24","104","498","525","-1.3","5.70"
"357",425794,"Adam Wainwright","383","93.21","0.240","0.080","0.293","0.320","0.257","0.275","0.250","24","100","83.2","8.8","2307","84.8","84.83","34","184","170","0.0","6.18"
"38",488786,"Louis Coleman","42","90.48","0.125","0.125","0.143","0.250","0.265","0.293","0.192","1","8","82.7","21.4","2307","86.7","87.40","5","17","21","0.7","6.64"
"609",489294,"Tanner Scheppers","688","88.52","0.252","0.185","0.269","0.437","0.344","0.308","0.213","34","135","86.0","12.4","2306","91.2","90.74","51","287","313","-0.5","5.98"
"2883",519455,"Jordan Zimmermann","3103","92.91","0.268","0.138","0.306","0.406","0.310","0.312","0.263","194","725","85.4","13.0","2306","90.6","90.04","273","1447","1412","-0.6","6.01"
"1432",543272,"Brad Hand","1553","92.21","0.298","0.147","0.333","0.445","0.351","0.352","0.286","97","326","86.9","7.6","2306","90.0","87.50","118","641","770","-2.5","5.09"
"745",502381,"Luke Gregerson","867","85.93","0.217","0.125","0.269","0.342","0.264","0.253","0.205","40","184","85.2","-1.3","2305","87.1","85.97","114","364","373","-1.1","5.52"
"1391",519141,"Drew Pomeranz","1442","96.46","0.230","0.129","0.281","0.359","0.290","0.292","0.227","71","309","85.7","10.9","2304","88.4","86.57","175","669","712","-1.8","5.27"
"976",456379,"Al Alburquerque","1077","90.62","0.279","0.101","0.350","0.380","0.335","0.324","0.256","58","208","88.3","10.2","2301","89.4","87.89","112","414","549","-1.5","5.40"
"2733",462136,"Marco Estrada","2913","93.82","0.207","0.162","0.220","0.370","0.281","0.293","0.222","129","622","87.0","20.6","2300","85.4","83.68","299","1359","1356","-1.7","5.48"
"3140",543521,"Collin McHugh","3248","96.67","0.262","0.126","0.312","0.387","0.306","0.283","0.233","202","772","84.5","11.7","2299","84.9","84.95","355","1499","1613","0.1","6.33"
"3079",446372,"Corey Kluber","3274","94.04","0.234","0.138","0.307","0.372","0.286","0.290","0.235","178","761","86.2","11.5","2299","90.3","90.44","416","1546","1496","0.1","6.24"
"1776",432934,"Chris Young","1986","89.43","0.201","0.169","0.214","0.370","0.279","0.293","0.218","81","403","85.6","23.0","2299","84.5","83.79","189","810","956","-0.7","5.94"
"715",451085,"Brian Matusz","836","85.53","0.203","0.118","0.278","0.320","0.284","0.292","0.200","31","153","86.6","18.2","2298","88.2","86.64","103","338","368","-1.6","5.35"
"579",544836,"Enny Romero","598","96.82","0.303","0.098","0.391","0.402","0.341","0.314","0.250","37","122","88.6","10.7","2296","94.0","92.86","67","265","314","-1.1","5.73"
"511",527055,"Arodys Vizcaino","556","91.91","0.234","0.117","0.321","0.351","0.297","0.322","0.246","26","111","89.2","12.3","2296","94.4","93.08","70","243","259","-1.3","5.79"
"587",595001,"Josh Smith","663","88.54","0.315","0.216","0.361","0.532","0.414","0.374","0.259","35","111","88.5","16.2","2295","85.6","86.39","52","244","323","0.8","6.48"
"41",518715,"Cory Gearrin","49","83.67","0.083","0.000","0.143","0.083","0.123","0.130","0.089","1","12","74.9","-11.9","2295","89.8","88.66","9","20","21","-1.1","5.65"
"184",602083,"Miguel Almonte","185","99.46","0.212","0.364","0.158","0.576","0.398","0.347","0.191","7","33","87.4","20.9","2294","92.7","91.38","25","90","93","-1.3","5.77"
"605",459429,"Jake McGee","620","97.58","0.200","0.104","0.282","0.304","0.243","0.250","0.196","27","135","88.2","20.3","2293","93.5","92.62","87","320","280","-0.9","6.05"
"635",519326,"Hunter Strickland","736","86.28","0.184","0.118","0.233","0.303","0.239","0.274","0.214","28","152","87.9","14.8","2293","95.0","94.35","105","350","279","-0.6","6.01"
"671",450306,"Jason Vargas","687","97.67","0.261","0.115","0.296","0.376","0.307","0.330","0.264","43","165","86.2","12.7","2292","84.4","83.28","58","288","382","-1.1","5.87"
"916",450665,"Kris Medlen","927","98.81","0.245","0.136","0.274","0.382","0.305","0.319","0.259","54","220","87.6","10.6","2291","87.6","86.59","86","414","495","-1.0","5.80"
"1023",573109,"A.J. Ramos","1087","94.11","0.187","0.102","0.259","0.289","0.258","0.265","0.187","42","225","84.1","13.0","2290","88.5","87.36","173","481","536","-1.1","5.87"
"3093",453286,"Max Scherzer","3359","92.08","0.209","0.142","0.279","0.351","0.254","0.254","0.208","163","780","85.0","16.7","2288","91.1","90.17","529","1709","1359","-0.9","5.98"
"1387",534910,"Jesse Hahn","1531","90.59","0.222","0.080","0.254","0.302","0.268","0.305","0.256","75","338","85.0","4.1","2288","88.1","87.90","112","641","721","-0.2","6.26"
"764",435400,"Jason Motte","801","95.38","0.265","0.138","0.303","0.403","0.306","0.294","0.241","48","181","85.7","21.0","2287","94.2","93.18","57","402","338","-1.0","5.90"
"268",605169,"Carter Capps","445","60.22","0.184","0.122","0.304","0.306","0.254","0.242","0.151","9","49","84.8","10.6","2283","96.7","99.77","61","126","141","3.1","7.39"
"1814",606273,"Roenis Elias","1842","98.48","0.247","0.160","0.281","0.407","0.321","0.329","0.253","105","425","87.0","12.5","2282","87.6","85.36","186","827","970","-2.2","5.26"
"272",612434,"Miguel Castro","295","92.20","0.261","0.246","0.306","0.507","0.366","0.414","0.295","18","69","90.6","14.5","2282","92.1","91.72","36","124","142","-0.4","6.16"
"306",425786,"Scott Atchison","338","90.53","0.303","0.303","0.279","0.605","0.392","0.397","0.333","23","76","87.1","9.3","2280","86.8","85.89","22","148","157","-0.9","5.45"
"561",544759,"Bo Schultz","635","88.35","0.220","0.189","0.214","0.409","0.301","0.338","0.268","29","132","88.7","8.9","2280","94.3","93.96","66","271","288","-0.3","6.46"
"339",607309,"Phil Klein","348","97.41","0.307","0.213","0.322","0.520","0.394","0.375","0.285","23","75","87.6","18.4","2280","88.6","89.03","26","156","182","0.4","6.36"
"711",491703,"Neftali Feliz","838","84.84","0.303","0.176","0.344","0.479","0.362","0.323","0.263","50","165","86.1","19.5","2279","91.4","90.85","81","363","329","-0.5","6.01"
"1271",592314,"Mike Foltynewicz","1481","85.82","0.305","0.238","0.338","0.543","0.386","0.334","0.256","92","302","86.5","16.5","2278","92.1","91.60","142","643","620","-0.5","6.14"
"1724",502211,"Mike Bolsinger","1779","96.91","0.248","0.124","0.299","0.372","0.309","0.305","0.242","100","403","86.0","8.1","2278","83.3","82.76","152","697","1003","-0.5","5.92"
"1511",571760,"Andrew Heaney","1647","91.74","0.245","0.130","0.279","0.375","0.297","0.330","0.263","90","368","88.2","15.5","2277","88.2","86.72","142","709","792","-1.5","5.79"
"843",430641,"Blaine Boyer","934","90.26","0.248","0.126","0.271","0.374","0.291","0.299","0.256","55","222","86.3","9.2","2277","89.3","87.99","76","414","415","-1.3","5.49"
"812",433586,"Santiago Casilla","907","89.53","0.228","0.119","0.293","0.347","0.288","0.287","0.223","44","193","84.3","9.9","2275","89.7","89.56","88","357","448","-0.1","6.24"
"311",516589,"Andre Rienzo","357","87.11","0.215","0.169","0.240","0.385","0.320","0.333","0.234","14","65","86.6","9.3","2274","87.8","86.62","25","139","167","-1.2","5.81"
"519",456696,"David Hernandez","587","88.42","0.265","0.214","0.305","0.479","0.352","0.340","0.245","31","117","86.7","16.5","2273","90.4","89.93","60","261","254","-0.5","6.09"
"702",543506,"Brandon Maurer","790","88.86","0.206","0.082","0.246","0.288","0.252","0.267","0.226","35","170","83.2","9.3","2272","91.4","90.51","98","340","358","-0.9","5.80"
"1012",491708,"Arquimedes Caminero","1116","90.68","0.225","0.138","0.282","0.364","0.294","0.301","0.232","57","253","86.3","11.8","2271","95.9","95.88","141","518","475","0.0","6.37"
"519",605894,"Severino Gonzalez","553","93.85","0.336","0.180","0.387","0.516","0.381","0.353","0.279","41","122","86.7","15.5","2269","86.9","86.67","55","251","258","-0.2","6.34"
"348",435221,"Brandon McCarthy","367","94.82","0.259","0.318","0.292","0.576","0.365","0.306","0.229","22","85","87.2","17.8","2269","91.5","90.91","46","173","175","-0.6","5.99"
"2945",502188,"Jeff Samardzija","3339","88.20","0.268","0.168","0.304","0.436","0.321","0.313","0.260","196","731","86.8","14.2","2269","91.4","90.81","335","1505","1426","-0.6","6.12"
"81",545346,"Zach Lee","90","90.00","0.500","0.273","0.556","0.773","0.554","0.448","0.413","11","22","89.5","5.5","2268","86.7","85.87","5","38","43","-0.8","6.13"
"2784",453178,"Ian Kennedy","2913","95.57","0.255","0.239","0.302","0.494","0.342","0.324","0.251","160","628","87.2","12.9","2267","88.0","87.71","332","1314","1434","-0.3","6.24"
"165",543508,"Cory Mazzoni","201","82.09","0.486","0.351","0.516","0.838","0.566","0.426","0.383","18","37","89.7","4.2","2266","92.3","91.90","9","77","87","-0.4","6.06"
"234",519166,"Neil Ramirez","252","92.86","0.250","0.167","0.306","0.417","0.312","0.350","0.270","12","48","93.0","19.9","2265","89.9","90.22","25","95","139","0.3","6.61"
"345",515052,"Mayckol Guaipe","459","75.16","0.356","0.233","0.407","0.589","0.450","0.353","0.251","26","73","87.8","8.6","2264","91.4","91.15","38","159","174","-0.3","6.36"
"2645",518774,"Matt Harvey","2798","94.53","0.221","0.116","0.278","0.337","0.262","0.253","0.210","150","680","86.0","10.4","2263","93.3","92.23","346","1285","1333","-1.1","6.03"
"430",542609,"Enrique Burgos","514","83.66","0.267","0.105","0.368","0.372","0.331","0.315","0.238","23","86","89.3","17.9","2262","92.5","92.03","63","204","223","-0.5","6.08"
"83",598271,"Brian Johnson","87","95.40","0.231","0.000","0.273","0.231","0.306","0.424","0.270","3","13","91.8","4.6","2261","80.5","79.71","5","29","53","-0.8","6.07"
"295",502264,"Nate Adcock","338","87.28","0.217","0.250","0.213","0.467","0.345","0.363","0.271","13","60","87.8","6.8","2261","93.5","93.63","25","117","175","0.1","6.35"
"54",460283,"Jerry Blevins","55","98.18","0.000","0.000","0.000","0.000","0.000","0.276","0.255","0","14","81.9","8.0","2259","83.4","82.01","5","20","33","-1.4","6.07"
"892",605228,"Jose Fernandez","992","89.92","0.251","0.099","0.347","0.350","0.287","0.283","0.236","56","223","87.5","13.9","2259","91.8","91.88","130","446","443","0.1","6.60"
"173",606160,"Rafael Montero","192","90.10","0.200","0.143","0.318","0.343","0.282","0.255","0.176","7","35","83.9","5.6","2259","89.6","88.27","19","83","76","-1.3","5.87"
"2937",518516,"Madison Bumgarner","3313","88.65","0.225","0.125","0.285","0.350","0.266","0.274","0.229","164","729","85.8","12.2","2258","88.1","87.61","401","1487","1428","-0.5","6.15"
"873",608648,"Tyler Duffey","908","96.15","0.254","0.117","0.323","0.371","0.303","0.290","0.230","54","213","88.4","7.4","2258","86.1","86.03","98","401","469","-0.1","6.29"
"29",595465,"Daniel Winkler","33","87.88","0.250","0.750","0.000","1.000","0.540","0.593","0.364","1","4","93.8","3.3","2257","87.8","86.93","3","10","19","-0.9","5.98"
"356",592341,"David Goforth","398","89.45","0.326","0.185","0.382","0.511","0.373","0.302","0.250","30","92","83.9","7.6","2257","92.4","92.70","43","183","165","0.3","6.46"
"556",451788,"Shaun Marcum","563","98.76","0.234","0.250","0.244","0.484","0.336","0.355","0.266","30","128","88.9","16.4","2251","82.7","80.88","65","236","310","-1.8","4.92"
"222",592815,"Sam Tuivailala","265","83.77","0.271","0.229","0.407","0.500","0.374","0.290","0.193","13","48","84.3","9.5","2251","92.7","92.68","30","96","123","0.0","6.37"
"800",445197,"Mike Dunn","987","81.05","0.229","0.169","0.303","0.398","0.324","0.320","0.232","38","166","86.3","17.1","2251","93.5","93.14","112","376","418","-0.4","6.31"
"160",514981,"Diego Moreno","165","96.97","0.237","0.158","0.276","0.395","0.320","0.269","0.198","9","38","87.4","15.9","2250","91.6","91.23","20","80","78","-0.4","6.06"
"418",592612,"Josh Osich","460","90.87","0.217","0.151","0.247","0.368","0.269","0.245","0.186","23","106","87.3","9.3","2249","92.7","92.30","82","241","174","-0.4","6.03"
"119",572308,"Jose Valdez","157","75.80","0.345","0.310","0.333","0.655","0.456","0.454","0.304","10","29","93.1","20.0","2249","94.6","93.98","11","56","63","-0.6","5.97"
"2609",457918,"J.A. Happ","2839","91.90","0.269","0.135","0.328","0.405","0.319","0.307","0.256","165","613","87.8","14.3","2248","89.4","88.36","243","1193","1383","-1.0","5.93"
