"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension"
"489",491708,"Arquimedes Caminero","2332","20.97","0.192","0.111","0.221","0.303","0.269","0.288","0.216","19","99","82.3","7.4","2257","92.0","91.94","62","229","258","-0.1","6.32"
"125",456713,"Matt Bush","942","13.27","0.226","0.032","0.280","0.258","0.215","0.224","0.216","7","31","75.8","8.3","2512","91.9","91.70","16","65","60","-0.2","5.87"
"679",592789,"Noah Syndergaard","5315","12.78","0.166","0.062","0.320","0.228","0.189","0.183","0.152","32","193","83.0","3.5","2068","91.1","91.79","191","391","286","0.7","6.70"
"142",606983,"Koda Glover","312","45.51","0.088","0.029","0.143","0.118","0.090","0.135","0.133","3","34","79.4","22.0","2456","90.6","90.45","27","78","64","-0.2","5.98"
"507",502028,"Blake Wood","1438","35.26","0.197","0.189","0.225","0.385","0.302","0.285","0.183","24","122","83.2","11.6","2306","90.4","90.10","85","267","239","-0.3","6.09"
"2254",453562,"Jake Arrieta","8979","25.10","0.193","0.096","0.251","0.289","0.245","0.197","0.148","127","658","82.5","8.6","2282","90.3","89.86","343","1270","959","-0.4","5.93"
"157",459429,"Jake McGee","2613","6.01","0.219","0.125","0.200","0.344","0.256","0.399","0.330","7","32","88.0","17.8","2179","90.2","89.88","12","70","86","-0.3","5.96"
"239",543881,"Pedro Villarreal","1006","23.76","0.270","0.095","0.327","0.365","0.298","0.167","0.130","17","63","84.7","17.3","2260","90.1","89.68","27","140","95","-0.4","6.09"
"492",446099,"John Axford","3304","14.89","0.209","0.110","0.239","0.319","0.268","0.249","0.183","19","91","85.4","7.4","2259","89.9","90.78","50","186","304","0.9","6.36"
"185",607352,"Joe Biagini","1117","16.56","0.293","0.122","0.393","0.415","0.342","0.296","0.256","12","41","85.8","8.4","2187","89.8","89.28","42","101","84","-0.5","6.07"
"126",545064,"Jairo Diaz","368","34.24","0.182","0.152","0.417","0.333","0.258","0.173","0.111","6","33","87.5","8.8","2149","89.8","89.42","28","60","66","-0.4","5.80"
"717",518774,"Matt Harvey","4313","16.62","0.218","0.102","0.285","0.320","0.251","0.213","0.187","43","197","81.4","6.3","2288","89.7","89.05","135","371","337","-0.6","5.96"
"269",592341,"David Goforth","599","44.91","0.224","0.149","0.302","0.373","0.270","0.241","0.199","15","67","81.7","6.6","2230","89.5","89.76","50","139","127","0.3","6.34"
"496",554430,"Zack Wheeler","3308","14.99","0.229","0.107","0.321","0.336","0.274","0.045","0.000","30","131","null","null","null","89.5","null","71","236","255","null","null"
"463",544931,"Stephen Strasburg","7723","6.00","0.284","0.193","0.329","0.477","0.317","0.254","0.227","31","109","79.3","8.3","2269","89.4","90.82","66","230","229","1.4","6.71"
